Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Parameter3,FF_Value,Flow
Throughput,6849.315068493151,catapult,CLB,119,FF,434,asic_fpga_area
Throughput,6849.315068493151,catapult,LUT,572,FF,434,asic_fpga_area
Throughput,6849.315068493151,catapult,FF,434,FF,434,asic_fpga_area
Throughput,6849.315068493151,catapult,DSP,1,FF,434,asic_fpga_area
Throughput,6849.315068493151,catapult,BRAM,0,FF,434,asic_fpga_area
Throughput,6802.721088435374,catapult,CLB,113,FF,434,asic_fpga_area
Throughput,6802.721088435374,catapult,LUT,572,FF,434,asic_fpga_area
Throughput,6802.721088435374,catapult,FF,434,FF,434,asic_fpga_area
Throughput,6802.721088435374,catapult,DSP,1,FF,434,asic_fpga_area
Throughput,6802.721088435374,catapult,BRAM,0,FF,434,asic_fpga_area
Throughput,5714.285714285715,catapult,CLB,178,FF,444,asic_fpga_area
Throughput,5714.285714285715,catapult,LUT,755,FF,444,asic_fpga_area
Throughput,5714.285714285715,catapult,FF,444,FF,444,asic_fpga_area
Throughput,5714.285714285715,catapult,DSP,1,FF,444,asic_fpga_area
Throughput,5714.285714285715,catapult,BRAM,0,FF,444,asic_fpga_area
Throughput,5847.953216374269,catapult,CLB,171,FF,444,asic_fpga_area
Throughput,5847.953216374269,catapult,LUT,739,FF,444,asic_fpga_area
Throughput,5847.953216374269,catapult,FF,444,FF,444,asic_fpga_area
Throughput,5847.953216374269,catapult,DSP,1,FF,444,asic_fpga_area
Throughput,5847.953216374269,catapult,BRAM,0,FF,444,asic_fpga_area
Throughput,4424.778761061947,catapult,CLB,236,FF,460,asic_fpga_area
Throughput,4424.778761061947,catapult,LUT,1014,FF,460,asic_fpga_area
Throughput,4424.778761061947,catapult,FF,460,FF,460,asic_fpga_area
Throughput,4424.778761061947,catapult,DSP,1,FF,460,asic_fpga_area
Throughput,4424.778761061947,catapult,BRAM,0,FF,460,asic_fpga_area
Throughput,4901.9607843137255,catapult,CLB,262,FF,460,asic_fpga_area
Throughput,4901.9607843137255,catapult,LUT,1014,FF,460,asic_fpga_area
Throughput,4901.9607843137255,catapult,FF,460,FF,460,asic_fpga_area
Throughput,4901.9607843137255,catapult,DSP,1,FF,460,asic_fpga_area
Throughput,4901.9607843137255,catapult,BRAM,0,FF,460,asic_fpga_area
Throughput,6666.666666666667,catapult,CLB,121,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,LUT,578,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,FF,386,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,DSP,1,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,BRAM,0,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,CLB,121,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,LUT,578,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,FF,386,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,DSP,1,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,BRAM,0,FF,386,asic_fpga_area
Throughput,5649.717514124294,catapult,CLB,192,FF,393,asic_fpga_area
Throughput,5649.717514124294,catapult,LUT,761,FF,393,asic_fpga_area
Throughput,5649.717514124294,catapult,FF,393,FF,393,asic_fpga_area
Throughput,5649.717514124294,catapult,DSP,1,FF,393,asic_fpga_area
Throughput,5649.717514124294,catapult,BRAM,0,FF,393,asic_fpga_area
Throughput,5555.555555555556,catapult,CLB,193,FF,393,asic_fpga_area
Throughput,5555.555555555556,catapult,LUT,761,FF,393,asic_fpga_area
Throughput,5555.555555555556,catapult,FF,393,FF,393,asic_fpga_area
Throughput,5555.555555555556,catapult,DSP,1,FF,393,asic_fpga_area
Throughput,5555.555555555556,catapult,BRAM,0,FF,393,asic_fpga_area
Throughput,5847.953216374269,catapult,CLB,202,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,LUT,1042,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,FF,407,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,DSP,1,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,BRAM,0,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,CLB,202,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,LUT,1042,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,FF,407,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,DSP,1,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,BRAM,0,FF,407,asic_fpga_area
Throughput,4065.0406504065036,catapult,CLB,148,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,LUT,789,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,FF,459,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,DSP,1,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,BRAM,0,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,CLB,148,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,LUT,789,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,FF,459,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,DSP,1,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,BRAM,0,FF,459,asic_fpga_area
Throughput,3952.569169960474,catapult,CLB,220,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,LUT,1038,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,FF,468,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,DSP,1,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,BRAM,0,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,CLB,220,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,LUT,1038,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,FF,468,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,DSP,1,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,BRAM,0,FF,468,asic_fpga_area
Throughput,3496.5034965034965,catapult,CLB,315,FF,482,asic_fpga_area
Throughput,3496.5034965034965,catapult,LUT,1448,FF,482,asic_fpga_area
Throughput,3496.5034965034965,catapult,FF,482,FF,482,asic_fpga_area
Throughput,3496.5034965034965,catapult,DSP,1,FF,482,asic_fpga_area
Throughput,3496.5034965034965,catapult,BRAM,0,FF,482,asic_fpga_area
Throughput,3610.1083032490974,catapult,CLB,284,FF,484,asic_fpga_area
Throughput,3610.1083032490974,catapult,LUT,1456,FF,484,asic_fpga_area
Throughput,3610.1083032490974,catapult,FF,484,FF,484,asic_fpga_area
Throughput,3610.1083032490974,catapult,DSP,1,FF,484,asic_fpga_area
Throughput,3610.1083032490974,catapult,BRAM,0,FF,484,asic_fpga_area
Throughput,25641.02564102564,catapult,CLB,91,FF,213,asic_fpga_area
Throughput,25641.02564102564,catapult,LUT,536,FF,213,asic_fpga_area
Throughput,25641.02564102564,catapult,FF,213,FF,213,asic_fpga_area
Throughput,25641.02564102564,catapult,DSP,1,FF,213,asic_fpga_area
Throughput,25641.02564102564,catapult,BRAM,0,FF,213,asic_fpga_area
Throughput,25641.02564102564,catapult,CLB,91,FF,213,asic_fpga_area
Throughput,25641.02564102564,catapult,LUT,536,FF,213,asic_fpga_area
Throughput,25641.02564102564,catapult,FF,213,FF,213,asic_fpga_area
Throughput,25641.02564102564,catapult,DSP,1,FF,213,asic_fpga_area
Throughput,25641.02564102564,catapult,BRAM,0,FF,213,asic_fpga_area
Throughput,27027.027027027027,catapult,CLB,150,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,LUT,753,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,FF,248,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,DSP,1,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,BRAM,0,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,CLB,150,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,LUT,753,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,FF,248,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,DSP,1,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,BRAM,0,FF,248,asic_fpga_area
Throughput,21739.130434782608,catapult,CLB,222,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,LUT,1187,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,FF,270,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,DSP,1,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,BRAM,0,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,CLB,222,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,LUT,1187,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,FF,270,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,DSP,1,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,BRAM,0,FF,270,asic_fpga_area
Throughput,6849.315068493151,catapult,CLB,119,FF,434,asic_fpga_area
Throughput,6849.315068493151,catapult,LUT,572,FF,434,asic_fpga_area
Throughput,6849.315068493151,catapult,FF,434,FF,434,asic_fpga_area
Throughput,6849.315068493151,catapult,DSP,1,FF,434,asic_fpga_area
Throughput,6849.315068493151,catapult,BRAM,0,FF,434,asic_fpga_area
Throughput,6802.721088435374,catapult,CLB,113,FF,434,asic_fpga_area
Throughput,6802.721088435374,catapult,LUT,572,FF,434,asic_fpga_area
Throughput,6802.721088435374,catapult,FF,434,FF,434,asic_fpga_area
Throughput,6802.721088435374,catapult,DSP,1,FF,434,asic_fpga_area
Throughput,6802.721088435374,catapult,BRAM,0,FF,434,asic_fpga_area
Throughput,5714.285714285715,catapult,CLB,178,FF,444,asic_fpga_area
Throughput,5714.285714285715,catapult,LUT,755,FF,444,asic_fpga_area
Throughput,5714.285714285715,catapult,FF,444,FF,444,asic_fpga_area
Throughput,5714.285714285715,catapult,DSP,1,FF,444,asic_fpga_area
Throughput,5714.285714285715,catapult,BRAM,0,FF,444,asic_fpga_area
Throughput,5847.953216374269,catapult,CLB,171,FF,444,asic_fpga_area
Throughput,5847.953216374269,catapult,LUT,739,FF,444,asic_fpga_area
Throughput,5847.953216374269,catapult,FF,444,FF,444,asic_fpga_area
Throughput,5847.953216374269,catapult,DSP,1,FF,444,asic_fpga_area
Throughput,5847.953216374269,catapult,BRAM,0,FF,444,asic_fpga_area
Throughput,4424.778761061947,catapult,CLB,236,FF,460,asic_fpga_area
Throughput,4424.778761061947,catapult,LUT,1014,FF,460,asic_fpga_area
Throughput,4424.778761061947,catapult,FF,460,FF,460,asic_fpga_area
Throughput,4424.778761061947,catapult,DSP,1,FF,460,asic_fpga_area
Throughput,4424.778761061947,catapult,BRAM,0,FF,460,asic_fpga_area
Throughput,4901.9607843137255,catapult,CLB,262,FF,460,asic_fpga_area
Throughput,4901.9607843137255,catapult,LUT,1014,FF,460,asic_fpga_area
Throughput,4901.9607843137255,catapult,FF,460,FF,460,asic_fpga_area
Throughput,4901.9607843137255,catapult,DSP,1,FF,460,asic_fpga_area
Throughput,4901.9607843137255,catapult,BRAM,0,FF,460,asic_fpga_area
Throughput,6666.666666666667,catapult,CLB,121,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,LUT,578,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,FF,386,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,DSP,1,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,BRAM,0,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,CLB,121,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,LUT,578,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,FF,386,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,DSP,1,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,BRAM,0,FF,386,asic_fpga_area
Throughput,5555.555555555556,catapult,CLB,193,FF,393,asic_fpga_area
Throughput,5555.555555555556,catapult,LUT,761,FF,393,asic_fpga_area
Throughput,5555.555555555556,catapult,FF,393,FF,393,asic_fpga_area
Throughput,5555.555555555556,catapult,DSP,1,FF,393,asic_fpga_area
Throughput,5555.555555555556,catapult,BRAM,0,FF,393,asic_fpga_area
Throughput,5649.717514124294,catapult,CLB,192,FF,393,asic_fpga_area
Throughput,5649.717514124294,catapult,LUT,761,FF,393,asic_fpga_area
Throughput,5649.717514124294,catapult,FF,393,FF,393,asic_fpga_area
Throughput,5649.717514124294,catapult,DSP,1,FF,393,asic_fpga_area
Throughput,5649.717514124294,catapult,BRAM,0,FF,393,asic_fpga_area
Throughput,5847.953216374269,catapult,CLB,202,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,LUT,1042,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,FF,407,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,DSP,1,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,BRAM,0,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,CLB,202,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,LUT,1042,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,FF,407,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,DSP,1,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,BRAM,0,FF,407,asic_fpga_area
Throughput,4065.0406504065036,catapult,CLB,148,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,LUT,789,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,FF,459,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,DSP,1,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,BRAM,0,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,CLB,148,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,LUT,789,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,FF,459,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,DSP,1,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,BRAM,0,FF,459,asic_fpga_area
Throughput,3952.569169960474,catapult,CLB,220,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,LUT,1038,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,FF,468,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,DSP,1,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,BRAM,0,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,CLB,220,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,LUT,1038,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,FF,468,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,DSP,1,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,BRAM,0,FF,468,asic_fpga_area
Throughput,3496.5034965034965,catapult,CLB,315,FF,482,asic_fpga_area
Throughput,3496.5034965034965,catapult,LUT,1448,FF,482,asic_fpga_area
Throughput,3496.5034965034965,catapult,FF,482,FF,482,asic_fpga_area
Throughput,3496.5034965034965,catapult,DSP,1,FF,482,asic_fpga_area
Throughput,3496.5034965034965,catapult,BRAM,0,FF,482,asic_fpga_area
Throughput,3610.1083032490974,catapult,CLB,284,FF,484,asic_fpga_area
Throughput,3610.1083032490974,catapult,LUT,1456,FF,484,asic_fpga_area
Throughput,3610.1083032490974,catapult,FF,484,FF,484,asic_fpga_area
Throughput,3610.1083032490974,catapult,DSP,1,FF,484,asic_fpga_area
Throughput,3610.1083032490974,catapult,BRAM,0,FF,484,asic_fpga_area
Throughput,25641.02564102564,catapult,CLB,91,FF,213,asic_fpga_area
Throughput,25641.02564102564,catapult,LUT,536,FF,213,asic_fpga_area
Throughput,25641.02564102564,catapult,FF,213,FF,213,asic_fpga_area
Throughput,25641.02564102564,catapult,DSP,1,FF,213,asic_fpga_area
Throughput,25641.02564102564,catapult,BRAM,0,FF,213,asic_fpga_area
Throughput,25641.02564102564,catapult,CLB,91,FF,213,asic_fpga_area
Throughput,25641.02564102564,catapult,LUT,536,FF,213,asic_fpga_area
Throughput,25641.02564102564,catapult,FF,213,FF,213,asic_fpga_area
Throughput,25641.02564102564,catapult,DSP,1,FF,213,asic_fpga_area
Throughput,25641.02564102564,catapult,BRAM,0,FF,213,asic_fpga_area
Throughput,27027.027027027027,catapult,CLB,150,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,LUT,753,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,FF,248,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,DSP,1,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,BRAM,0,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,CLB,150,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,LUT,753,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,FF,248,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,DSP,1,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,BRAM,0,FF,248,asic_fpga_area
Throughput,21739.130434782608,catapult,CLB,222,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,LUT,1187,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,FF,270,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,DSP,1,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,BRAM,0,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,CLB,222,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,LUT,1187,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,FF,270,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,DSP,1,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,BRAM,0,FF,270,asic_fpga_area
Throughput,6849.315068493151,catapult,CLB,119,FF,434,asic_fpga_area
Throughput,6849.315068493151,catapult,LUT,572,FF,434,asic_fpga_area
Throughput,6849.315068493151,catapult,FF,434,FF,434,asic_fpga_area
Throughput,6849.315068493151,catapult,DSP,1,FF,434,asic_fpga_area
Throughput,6849.315068493151,catapult,BRAM,0,FF,434,asic_fpga_area
Throughput,6802.721088435374,catapult,CLB,113,FF,434,asic_fpga_area
Throughput,6802.721088435374,catapult,LUT,572,FF,434,asic_fpga_area
Throughput,6802.721088435374,catapult,FF,434,FF,434,asic_fpga_area
Throughput,6802.721088435374,catapult,DSP,1,FF,434,asic_fpga_area
Throughput,6802.721088435374,catapult,BRAM,0,FF,434,asic_fpga_area
Throughput,5714.285714285715,catapult,CLB,178,FF,444,asic_fpga_area
Throughput,5714.285714285715,catapult,LUT,755,FF,444,asic_fpga_area
Throughput,5714.285714285715,catapult,FF,444,FF,444,asic_fpga_area
Throughput,5714.285714285715,catapult,DSP,1,FF,444,asic_fpga_area
Throughput,5714.285714285715,catapult,BRAM,0,FF,444,asic_fpga_area
Throughput,5847.953216374269,catapult,CLB,171,FF,444,asic_fpga_area
Throughput,5847.953216374269,catapult,LUT,739,FF,444,asic_fpga_area
Throughput,5847.953216374269,catapult,FF,444,FF,444,asic_fpga_area
Throughput,5847.953216374269,catapult,DSP,1,FF,444,asic_fpga_area
Throughput,5847.953216374269,catapult,BRAM,0,FF,444,asic_fpga_area
Throughput,4424.778761061947,catapult,CLB,236,FF,460,asic_fpga_area
Throughput,4424.778761061947,catapult,LUT,1014,FF,460,asic_fpga_area
Throughput,4424.778761061947,catapult,FF,460,FF,460,asic_fpga_area
Throughput,4424.778761061947,catapult,DSP,1,FF,460,asic_fpga_area
Throughput,4424.778761061947,catapult,BRAM,0,FF,460,asic_fpga_area
Throughput,4901.9607843137255,catapult,CLB,262,FF,460,asic_fpga_area
Throughput,4901.9607843137255,catapult,LUT,1014,FF,460,asic_fpga_area
Throughput,4901.9607843137255,catapult,FF,460,FF,460,asic_fpga_area
Throughput,4901.9607843137255,catapult,DSP,1,FF,460,asic_fpga_area
Throughput,4901.9607843137255,catapult,BRAM,0,FF,460,asic_fpga_area
Throughput,6666.666666666667,catapult,CLB,121,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,LUT,578,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,FF,386,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,DSP,1,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,BRAM,0,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,CLB,121,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,LUT,578,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,FF,386,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,DSP,1,FF,386,asic_fpga_area
Throughput,6666.666666666667,catapult,BRAM,0,FF,386,asic_fpga_area
Throughput,5555.555555555556,catapult,CLB,193,FF,393,asic_fpga_area
Throughput,5555.555555555556,catapult,LUT,761,FF,393,asic_fpga_area
Throughput,5555.555555555556,catapult,FF,393,FF,393,asic_fpga_area
Throughput,5555.555555555556,catapult,DSP,1,FF,393,asic_fpga_area
Throughput,5555.555555555556,catapult,BRAM,0,FF,393,asic_fpga_area
Throughput,5555.555555555556,catapult,CLB,193,FF,393,asic_fpga_area
Throughput,5555.555555555556,catapult,LUT,761,FF,393,asic_fpga_area
Throughput,5555.555555555556,catapult,FF,393,FF,393,asic_fpga_area
Throughput,5555.555555555556,catapult,DSP,1,FF,393,asic_fpga_area
Throughput,5555.555555555556,catapult,BRAM,0,FF,393,asic_fpga_area
Throughput,5847.953216374269,catapult,CLB,202,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,LUT,1042,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,FF,407,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,DSP,1,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,BRAM,0,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,CLB,202,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,LUT,1042,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,FF,407,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,DSP,1,FF,407,asic_fpga_area
Throughput,5847.953216374269,catapult,BRAM,0,FF,407,asic_fpga_area
Throughput,4065.0406504065036,catapult,CLB,148,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,LUT,789,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,FF,459,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,DSP,1,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,BRAM,0,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,CLB,148,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,LUT,789,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,FF,459,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,DSP,1,FF,459,asic_fpga_area
Throughput,4065.0406504065036,catapult,BRAM,0,FF,459,asic_fpga_area
Throughput,3952.569169960474,catapult,CLB,220,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,LUT,1038,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,FF,468,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,DSP,1,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,BRAM,0,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,CLB,220,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,LUT,1038,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,FF,468,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,DSP,1,FF,468,asic_fpga_area
Throughput,3952.569169960474,catapult,BRAM,0,FF,468,asic_fpga_area
Throughput,3496.5034965034965,catapult,CLB,315,FF,482,asic_fpga_area
Throughput,3496.5034965034965,catapult,LUT,1448,FF,482,asic_fpga_area
Throughput,3496.5034965034965,catapult,FF,482,FF,482,asic_fpga_area
Throughput,3496.5034965034965,catapult,DSP,1,FF,482,asic_fpga_area
Throughput,3496.5034965034965,catapult,BRAM,0,FF,482,asic_fpga_area
Throughput,3610.1083032490974,catapult,CLB,284,FF,484,asic_fpga_area
Throughput,3610.1083032490974,catapult,LUT,1456,FF,484,asic_fpga_area
Throughput,3610.1083032490974,catapult,FF,484,FF,484,asic_fpga_area
Throughput,3610.1083032490974,catapult,DSP,1,FF,484,asic_fpga_area
Throughput,3610.1083032490974,catapult,BRAM,0,FF,484,asic_fpga_area
Throughput,25641.02564102564,catapult,CLB,91,FF,213,asic_fpga_area
Throughput,25641.02564102564,catapult,LUT,536,FF,213,asic_fpga_area
Throughput,25641.02564102564,catapult,FF,213,FF,213,asic_fpga_area
Throughput,25641.02564102564,catapult,DSP,1,FF,213,asic_fpga_area
Throughput,25641.02564102564,catapult,BRAM,0,FF,213,asic_fpga_area
Throughput,27027.027027027027,catapult,CLB,150,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,LUT,753,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,FF,248,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,DSP,1,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,BRAM,0,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,CLB,150,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,LUT,753,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,FF,248,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,DSP,1,FF,248,asic_fpga_area
Throughput,27027.027027027027,catapult,BRAM,0,FF,248,asic_fpga_area
Throughput,21739.130434782608,catapult,CLB,222,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,LUT,1187,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,FF,270,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,DSP,1,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,BRAM,0,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,CLB,222,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,LUT,1187,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,FF,270,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,DSP,1,FF,270,asic_fpga_area
Throughput,21739.130434782608,catapult,BRAM,0,FF,270,asic_fpga_area
Throughput,6849.315068493151,catapult,CLB,119,FF,434,asic_fpga_area
Throughput,6849.315068493151,catapult,LUT,572,FF,434,asic_fpga_area
Throughput,6849.315068493151,catapult,FF,434,FF,434,asic_fpga_area
Throughput,6849.315068493151,catapult,DSP,1,FF,434,asic_fpga_area
Throughput,6849.315068493151,catapult,BRAM,0,FF,434,asic_fpga_area
Throughput,6802.721088435374,catapult,CLB,113,FF,434,asic_fpga_area
Throughput,6802.721088435374,catapult,LUT,572,FF,434,asic_fpga_area
Throughput,6802.721088435374,catapult,FF,434,FF,434,asic_fpga_area
Throughput,6802.721088435374,catapult,DSP,1,FF,434,asic_fpga_area
Throughput,6802.721088435374,catapult,BRAM,0,FF,434,asic_fpga_area
Throughput,5714.285714285715,catapult,CLB,178,FF,444,asic_fpga_area
Throughput,5714.285714285715,catapult,LUT,755,FF,444,asic_fpga_area
Throughput,5714.285714285715,catapult,FF,444,FF,444,asic_fpga_area
Throughput,5714.285714285715,catapult,DSP,1,FF,444,asic_fpga_area
Throughput,5714.285714285715,catapult,BRAM,0,FF,444,asic_fpga_area
Throughput,5847.953216374269,catapult,CLB,171,FF,444,asic_fpga_area
Throughput,5847.953216374269,catapult,LUT,739,FF,444,asic_fpga_area
Throughput,5847.953216374269,catapult,FF,444,FF,444,asic_fpga_area
Throughput,5847.953216374269,catapult,DSP,1,FF,444,asic_fpga_area
