n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_part1,knob_array_part2,knob_I_B,obj1,obj2
0,2,1,1,1,512,1,0,0.000146,119
1,2,1,1,1,512,2,0,0.000147,113
2,2,1,1,1,256,1,0,0.000175,178
3,2,1,1,1,256,2,0,0.000171,171
4,2,1,1,1,128,1,0,0.000226,236
5,2,1,1,1,128,2,0,0.000204,262
6,2,1,1,2,512,1,0,0.00015,121
7,2,1,1,2,512,2,0,0.00015,121
8,2,1,1,2,256,1,0,0.000177,192
9,2,1,1,2,256,2,0,0.00018,193
10,2,1,1,2,128,1,0,0.000171,202
11,2,1,1,2,128,2,0,0.000171,202
12,2,1,1,3,512,1,0,0.000246,148
13,2,1,1,3,512,2,0,0.000246,148
14,2,1,1,3,256,1,0,0.000253,220
15,2,1,1,3,256,2,0,0.000253,220
16,2,1,1,3,128,1,0,0.000286,315
17,2,1,1,3,128,2,0,0.000277,284
18,2,1,1,4,512,1,0,3.90E-05,91
19,2,1,1,4,512,2,0,3.90E-05,91
20,2,1,1,4,256,1,0,3.70E-05,150
21,2,1,1,4,256,2,0,3.70E-05,150
22,2,1,1,4,128,1,0,4.60E-05,222
23,2,1,1,4,128,2,0,4.60E-05,222
24,2,1,2,1,512,1,0,0.000146,119
25,2,1,2,1,512,2,0,0.000147,113
26,2,1,2,1,256,1,0,0.000175,178
27,2,1,2,1,256,2,0,0.000171,171
28,2,1,2,1,128,1,0,0.000226,236
29,2,1,2,1,128,2,0,0.000204,262
30,2,1,2,2,512,1,0,0.00015,121
31,2,1,2,2,512,2,0,0.00015,121
32,2,1,2,2,256,1,0,0.00018,193
33,2,1,2,2,256,2,0,0.000177,192
34,2,1,2,2,128,1,0,0.000171,202
35,2,1,2,2,128,2,0,0.000171,202
36,2,1,2,3,512,1,0,0.000246,148
37,2,1,2,3,512,2,0,0.000246,148
38,2,1,2,3,256,1,0,0.000253,220
39,2,1,2,3,256,2,0,0.000253,220
40,2,1,2,3,128,1,0,0.000286,315
41,2,1,2,3,128,2,0,0.000277,284
42,2,1,2,4,512,1,0,3.90E-05,91
43,2,1,2,4,512,2,0,3.90E-05,91
44,2,1,2,4,256,1,0,3.70E-05,150
45,2,1,2,4,256,2,0,3.70E-05,150
46,2,1,2,4,128,1,0,4.60E-05,222
47,2,1,2,4,128,2,0,4.60E-05,222
48,2,1,3,1,512,1,0,0.000146,119
49,2,1,3,1,512,2,0,0.000147,113
50,2,1,3,1,256,1,0,0.000175,178
51,2,1,3,1,256,2,0,0.000171,171
52,2,1,3,1,128,1,0,0.000226,236
53,2,1,3,1,128,2,0,0.000204,262
54,2,1,3,2,512,1,0,0.00015,121
55,2,1,3,2,512,2,0,0.00015,121
56,2,1,3,2,256,1,0,0.00018,193
57,2,1,3,2,256,2,0,0.00018,193
58,2,1,3,2,128,1,0,0.000171,202
59,2,1,3,2,128,2,0,0.000171,202
60,2,1,3,3,512,1,0,0.000246,148
61,2,1,3,3,512,2,0,0.000246,148
62,2,1,3,3,256,1,0,0.000253,220
63,2,1,3,3,256,2,0,0.000253,220
64,2,1,3,3,128,1,0,0.000286,315
65,2,1,3,3,128,2,0,0.000277,284
66,2,1,3,4,512,1,0,3.90E-05,91
67,2,1,3,4,256,1,0,3.70E-05,150
