Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Parameter3,FF_Value,Flow
Throughput,6.729746826924371,catapult,Area,28895.580,FF,814,catapult_asic_latency
Throughput,6.644915642795914,catapult,Area,42984.535,FF,1778,catapult_asic_latency
Throughput,6.65220919867488,catapult,Area,23441.250,FF,458,catapult_asic_latency
Throughput,6.801425578801317,catapult,Area,25452.742,FF,461,catapult_asic_latency
Throughput,6.770205678848523,catapult,Area,22039.963,FF,474,catapult_asic_latency
Throughput,6.818863704552273,catapult,Area,22110.186,FF,521,catapult_asic_latency
Throughput,6.656238559589975,catapult,Area,25908.400,FF,597,catapult_asic_latency
Throughput,6.699180020365508,catapult,Area,32598.033,FF,792,catapult_asic_latency
Throughput,6.87606579019748,catapult,Area,39737.473,FF,855,catapult_asic_latency
Throughput,7.027653817772936,catapult,Area,23695.279,FF,569,catapult_asic_latency
Throughput,6.864972849032383,catapult,Area,24500.463,FF,578,catapult_asic_latency
Throughput,6.981095194214068,catapult,Area,26513.018,FF,644,catapult_asic_latency
Throughput,6.8787618228718825,catapult,Area,31310.859,FF,981,catapult_asic_latency
Throughput,6.8608751732370985,catapult,Area,37530.207,FF,1565,catapult_asic_latency
Throughput,7.033436959304534,catapult,Area,53515.742,FF,2724,catapult_asic_latency
Throughput,6.977198515252155,catapult,Area,25954.418,FF,627,catapult_asic_latency
Throughput,6.644915642795914,catapult,Area,26658.785,FF,654,catapult_asic_latency
Throughput,6.6442533852471,catapult,Area,28193.074,FF,749,catapult_asic_latency
Throughput,6.65353702027998,catapult,Area,31606.119,FF,1088,catapult_asic_latency
Throughput,6.964030781016052,catapult,Area,38440.191,FF,1714,catapult_asic_latency
Throughput,6.6442533852471,catapult,Area,26776.357,FF,712,catapult_asic_latency
Throughput,6.73722790020818,catapult,Area,28979.637,FF,675,catapult_asic_latency
Throughput,6.712715897725061,catapult,Area,29556.855,FF,771,catapult_asic_latency
Throughput,6.731105786058533,catapult,Area,34228.348,FF,1078,catapult_asic_latency
Throughput,6.644915642795914,catapult,Area,26624.473,FF,705,catapult_asic_latency
Throughput,6.642223284977948,catapult,Area,27725.180,FF,726,catapult_asic_latency
Throughput,6.729746826924371,catapult,Area,28895.580,FF,814,catapult_asic_latency
Throughput,6.644915642795914,catapult,Area,42984.535,FF,1778,catapult_asic_latency
Throughput,6.65220919867488,catapult,Area,23441.250,FF,458,catapult_asic_latency
Throughput,6.801425578801317,catapult,Area,25452.742,FF,461,catapult_asic_latency
Throughput,6.770205678848523,catapult,Area,22039.963,FF,474,catapult_asic_latency
Throughput,6.818863704552273,catapult,Area,22110.186,FF,521,catapult_asic_latency
Throughput,6.656238559589975,catapult,Area,25908.400,FF,597,catapult_asic_latency
Throughput,6.699180020365508,catapult,Area,32598.033,FF,792,catapult_asic_latency
Throughput,6.87606579019748,catapult,Area,39737.473,FF,855,catapult_asic_latency
Throughput,7.027653817772936,catapult,Area,23695.279,FF,569,catapult_asic_latency
Throughput,6.864972849032383,catapult,Area,24500.463,FF,578,catapult_asic_latency
Throughput,6.981095194214068,catapult,Area,26513.018,FF,644,catapult_asic_latency
Throughput,6.8787618228718825,catapult,Area,31310.859,FF,981,catapult_asic_latency
Throughput,6.8608751732370985,catapult,Area,37530.207,FF,1565,catapult_asic_latency
Throughput,7.033436959304534,catapult,Area,53515.742,FF,2724,catapult_asic_latency
Throughput,6.977198515252155,catapult,Area,25954.418,FF,627,catapult_asic_latency
Throughput,6.644915642795914,catapult,Area,26658.785,FF,654,catapult_asic_latency
Throughput,6.6442533852471,catapult,Area,28193.074,FF,749,catapult_asic_latency
Throughput,6.65353702027998,catapult,Area,31606.119,FF,1088,catapult_asic_latency
Throughput,6.964030781016052,catapult,Area,38440.191,FF,1714,catapult_asic_latency
Throughput,6.6442533852471,catapult,Area,26776.357,FF,712,catapult_asic_latency
Throughput,6.73722790020818,catapult,Area,28979.637,FF,675,catapult_asic_latency
Throughput,6.712715897725061,catapult,Area,29556.855,FF,771,catapult_asic_latency
Throughput,6.731105786058533,catapult,Area,34228.348,FF,1078,catapult_asic_latency
Throughput,7.118501697762655,catapult,Area,44295.383,FF,1666,catapult_asic_latency
Throughput,6.644915642795914,catapult,Area,26624.473,FF,705,catapult_asic_latency
Throughput,6.642223284977948,catapult,Area,27725.180,FF,726,catapult_asic_latency
Throughput,6.729746826924371,catapult,Area,28895.580,FF,814,catapult_asic_latency
Throughput,6.644915642795914,catapult,Area,42984.535,FF,1778,catapult_asic_latency
Throughput,8.37668266613056,catapult,Area,24138.969,FF,729,catapult_asic_latency
Throughput,8.346479037817897,catapult,Area,25356.717,FF,735,catapult_asic_latency
