n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition1,knob_array_partition2,knob_I_B,obj1,obj2
0,1,1,1,1,1,1,4194304,0,1.308533,87
1,1,1,1,1,1,2,2097152,0,1.278471,115
2,1,1,1,1,1,4,1048576,0,1.398718,159
3,1,1,1,1,2,1,4194304,0,1.197342,93
4,1,1,1,1,2,2,2097152,0,1.356233,133
5,1,1,1,1,2,4,1048576,0,1.301694,197
6,1,1,1,1,4,1,4194304,0,1.28671,126
7,1,1,1,1,4,2,2097152,0,1.435962,164
8,1,1,1,1,4,4,1048576,0,1.395779,245
9,1,1,1,1,8,1,4194304,0,1.346244,150
10,1,1,1,1,8,2,2097152,0,1.484853,208
11,1,1,1,1,8,4,1048576,0,1.451762,269
12,1,1,1,2,1,1,4194304,0,1.329643,90
13,1,1,1,2,1,2,2097152,0,1.453099,115
14,1,1,1,2,1,4,1048576,0,1.339438,151
15,1,1,1,2,2,1,4194304,0,1.485237,119
16,1,1,1,2,2,2,2097152,0,1.671313,176
17,1,1,1,2,2,4,1048576,0,1.666248,229
18,1,1,1,2,4,1,4194304,0,1.519366,122
19,1,1,1,2,4,2,2097152,0,1.580317,198
20,1,1,1,2,4,4,1048576,0,1.5609,212
21,1,1,1,2,8,1,4194304,0,1.563188,172
22,1,1,1,2,8,2,2097152,0,1.617889,256
23,1,1,1,2,8,4,1048576,0,1.592733,371
24,1,1,1,4,1,1,4194304,0,1.403277,119
25,1,1,1,4,1,2,2097152,0,1.629584,166
26,1,1,1,4,1,4,1048576,0,1.625193,172
27,1,1,1,4,2,1,4194304,0,1.43458,139
28,1,1,1,4,2,2,2097152,0,1.658311,173
29,1,1,1,4,2,4,1048576,0,1.578105,307
30,1,1,1,4,4,1,4194304,0,1.563939,166
31,1,1,1,4,4,2,2097152,0,1.574576,213
32,1,1,1,4,4,4,1048576,0,1.61746,328
33,1,1,1,4,8,1,4194304,0,1.543772,242
34,1,1,1,4,8,2,2097152,0,1.676641,377
35,1,1,1,4,8,4,1048576,0,1.621602,524
36,1,1,1,8,1,1,4194304,0,1.438742,140
37,1,1,1,8,1,2,2097152,0,1.663699,192
38,1,1,1,8,1,4,1048576,0,1.620464,304
39,1,1,1,8,2,1,4194304,0,1.578105,194
40,1,1,1,8,2,2,2097152,0,1.588236,250
41,1,1,1,8,2,4,1048576,0,1.620994,366
42,1,1,1,8,4,1,4194304,0,1.611382,223
43,1,1,1,8,4,2,2097152,0,1.647513,343
44,1,1,1,8,4,4,1048576,0,1.621512,426
